Instance,Income
111994,74728.786747084
111995,44832.17618223373
111996,95193.13523817249
111997,28538.814002824016
111998,91024.72431291733
111999,167983.6997951977
112000,143924.78995976504
112001,154639.28519444168
112002,133919.6497670347
112003,108211.61595985387
112004,45874.468322521076
112005,169305.4350650059
112006,35649.93097939156
112007,159831.5765363304
112008,86111.68663045019
112009,114291.65888244566
112010,81835.99838436767
112011,103226.877873783
112012,110797.99969692156
112013,136774.46857566852
112014,91485.34715214837
112015,57237.619218320586
112016,153333.86685778853
112017,102909.91568786185
112018,77832.98247694969
112019,116596.37964191288
112020,32725.209369154647
112021,75536.83471794985
112022,109133.59730486479
112023,180858.7271881895
112024,46007.40079698432
112025,108010.16770093516
112026,69180.86221894156
112027,82712.11859853938
112028,75596.60064839851
112029,17188.28372091148
112030,130952.3482762184
112031,117466.14315050188
112032,157922.01247158553
112033,109998.53483028524
112034,59978.33077620994
112035,73233.01850095578
112036,107573.46334586293
112037,66023.33632094413
112038,146693.59509510733
112039,68906.43977629021
112040,149340.96802064776
112041,141500.26087545138
112042,127831.78845569585
112043,57466.22256092448
112044,125163.83793650195
112045,130239.06121875253
112046,113086.2641985016
112047,110478.31657335348
112048,4412.07769694645
112049,108155.90109828021
112050,111137.82936070394
112051,74479.63384755049
112052,145238.32958492916
112053,181502.1662953226
112054,155046.4104725225
112055,38929.962231634185
112056,153233.32855173014
112057,13394.154680482112
112058,186174.65064452402
112059,78802.3858707482
112060,103094.42184446752
112061,174171.71921286732
112062,147644.30153391976
112063,104334.613957691
112064,27399.17557252664
112065,73145.01199027617
112066,76557.20260324143
112067,130594.8149694698
112068,205806.97886479367
112069,134927.27770846244
112070,183202.77846271545
112071,156328.7193757305
112072,117383.24510903563
112073,73793.53535489365
112074,108468.93636828475
112075,61353.95818541758
112076,127186.55447784252
112077,193363.90866219625
112078,69135.01173062343
112079,89341.23685189895
112080,15459.738831036724
112081,173193.41865452286
112082,63740.685202735476
112083,161976.06664258707
112084,97359.7950890623
112085,142261.65437630285
112086,72453.88319642842
112087,127581.740872222
112088,112735.13283310644
112089,98672.66017030552
112090,137551.23397493642
112091,106140.00852075964
112092,89267.22532457858
112093,70114.911624006
112094,93624.11652019247
112095,59801.9728602292
112096,57346.45232003927
112097,84589.13865653146
112098,16019.882789604366
112099,140605.66720587108
112100,86642.34980079811
112101,47639.848471067846
112102,89563.229121482
112103,150572.94308367465
112104,80224.88174663112
112105,200730.49965684302
112106,151460.51871904545
112107,188300.40717312042
112108,164334.72996323928
112109,93679.45493739657
112110,147410.54608948063
112111,56592.80620491132
112112,104163.43055347819
112113,132430.4603667818
112114,86478.43576810695
112115,103310.99111353885
112116,90500.72528124508
112117,162050.2963145664
112118,98816.53669273388
112119,118109.36839756928
112120,208664.40255147684
112121,121727.57404243015
112122,166730.09168551024
112123,48947.79782242142
112124,149895.25613058452
112125,125880.64685157221
112126,204737.57103817258
112127,51141.06887517683
112128,115058.83303937037
112129,94887.09057654906
112130,87485.35926303547
112131,158442.6381496368
112132,94240.25840496365
112133,114516.05106661841
112134,141596.97434365563
112135,46646.26455980539
112136,93955.4971387256
112137,67704.42859981675
112138,27154.70244817622
112139,111880.9633754883
112140,103528.08705839701
112141,81416.27420288417
112142,68211.5385421915
112143,72705.16019586567
112144,28985.848127403297
112145,77685.49932154268
112146,177119.23094239272
112147,175060.58870296553
112148,140413.01635713037
112149,5096.59733394254
112150,75605.32589302026
112151,207424.26239408925
112152,178744.4684605291
112153,97877.77687796578
112154,164687.15436880663
112155,80695.33951578755
112156,214135.5581719987
112157,182919.0236332463
112158,121779.05492869578
112159,80234.67598522082
112160,68764.52255059779
112161,99725.0209512962
112162,46624.17613353301
112163,106937.99004418217
112164,176730.10360831767
112165,169940.07585113775
112166,180694.42916787788
112167,126902.84577339981
112168,141821.53165130224
112169,186336.80316069908
112170,182052.82561249286
112171,165872.90813761484
112172,71786.6490876982
112173,82669.01455901098
112174,44802.325398216024
112175,149121.80448161904
112176,78411.1161950184
112177,87715.06803051941
112178,41126.79404590465
112179,100439.65102709457
112180,42209.78896820452
112181,80317.22910498176
112182,151367.30651937146
112183,119303.26763759833
112184,46696.825069262646
112185,97328.82569447812
112186,76492.18516163155
112187,64329.780729590915
112188,65706.85135189258
112189,99730.43007414788
112190,117679.95945379883
112191,149111.44650492165
112192,101299.02448405791
112193,131178.67493424192
112194,212981.7561647715
112195,125631.03255942836
112196,22240.85244870931
112197,66479.72304164432
112198,146700.30290356558
112199,117141.52188233286
112200,99539.58097414114
112201,166135.19802852347
112202,161523.1767359823
112203,121398.51898473036
112204,126361.35076701734
112205,71244.07736092806
112206,158126.01591471303
112207,107680.69109420758
112208,108135.96357974503
112209,92641.7261204021
112210,146937.14985730872
112211,143011.84491115715
112212,147151.69133711234
112213,61843.0609551575
112214,79687.19853530824
112215,77189.1558852829
112216,126171.03878340684
112217,31469.356748972088
112218,59895.04031842202
112219,114686.76066583954
112220,183873.8059773594
112221,63996.43502626382
112222,98064.20998064335
112223,116732.77759954147
112224,83484.34823691659
112225,139585.57047744095
112226,165994.45480814483
112227,101666.83005803172
112228,105831.11387101002
112229,159671.78850976005
112230,137677.30542734172
112231,15685.433140761219
112232,111614.01038045809
112233,92185.98560011014
112234,118034.61432037689
112235,23069.888294559903
112236,95571.32775091194
112237,92087.61172398739
112238,140265.5641826922
112239,123665.75816036388
112240,137027.64208589587
112241,74200.42070543114
112242,76920.00152818486
112243,138304.85680759884
112244,104511.18785371725
112245,77919.57206435222
112246,114231.04933447018
112247,145790.77352501545
112248,172950.20884512737
112249,27781.26818411611
112250,38480.74202018604
112251,97639.8187724743
112252,98455.68622010294
112253,42570.2648524791
112254,197923.69531552307
112255,107511.22793827299
112256,112459.81931586936
112257,122900.86395365
112258,141824.7108653821
112259,44406.5892874049
112260,199202.18641387485
112261,138155.0858486127
112262,117715.60528009478
112263,61025.46009426657
112264,68054.20168833248
112265,121407.1612071069
112266,130054.83492566086
112267,153225.92342327442
112268,178819.18393069413
112269,123597.9389998857
112270,58941.28155557159
112271,140560.7354520345
112272,172548.8715369664
112273,155983.00388168823
112274,54295.540004365146
112275,39139.07100675814
112276,112618.40249752998
